model_type,polynomial,regularization,use_momentum,method,initialization,learning_rate,cv_mse,cv_r2,cv_r2_std
normal,False,normal,True,batch,zeros,0.0001,0.5761892160706115,0.016090912458774233,0.0003297052698739327
ridge,False,ridge,True,batch,zeros,0.0001,0.576189239819802,0.016090871908664074,0.00032970494788686074
lasso,False,lasso,True,batch,zeros,0.0001,0.5762100675152304,0.016055281666919875,0.0003293821098010171
polynomial,True,normal,True,batch,xavier,0.01,0.5704931149365111,0.012367845526933952,1.2076132185480506
polynomial,True,normal,False,batch,zeros,0.0001,0.5825787873431352,0.005174116399475093,0.00033271282023594035
normal,False,normal,False,batch,zeros,0.0001,0.5838169002749349,0.003067100416166357,0.0002700878641938565
ridge,False,ridge,False,batch,zeros,0.0001,0.5838169026074378,0.003067096433536376,0.0002700878625037436
lasso,False,lasso,False,batch,zeros,0.0001,0.583821702050528,0.003058895102249526,0.00027008981109725516
lasso,False,lasso,True,batch,xavier,0.001,0.584233780319154,-0.005123056919264735,0.1679861010796614
ridge,False,ridge,True,batch,xavier,0.001,0.5842871859762084,-0.005216266088434796,0.16805088203036986
normal,False,normal,True,batch,xavier,0.001,0.5843024988693674,-0.005243134569929286,0.16806788685668697
lasso,False,lasso,False,mini-batch,xavier,0.0001,0.6106172831834666,-0.05061333499078371,0.17759742969999026
ridge,False,ridge,False,mini-batch,xavier,0.0001,0.6106551678664843,-0.05068016123159582,0.1776557613764729
normal,False,normal,False,mini-batch,xavier,0.0001,0.6106656123938599,-0.0506985236404917,0.17766820762679122
lasso,False,lasso,False,batch,xavier,0.001,0.6678205237205391,-0.14926501163313963,0.199324126674242
ridge,False,ridge,False,batch,xavier,0.001,0.6678337609879598,-0.14928797712280922,0.19933735487783352
normal,False,normal,False,batch,xavier,0.001,0.6678377364946579,-0.14929493948206776,0.19934143187389602
lasso,False,lasso,True,batch,xavier,0.0001,0.6810148121155901,-0.17202026173307766,0.20432305529601383
ridge,False,ridge,True,batch,xavier,0.0001,0.681020955264608,-0.17203091968924736,0.2043292057813975
normal,False,normal,True,batch,xavier,0.0001,0.6810229258157947,-0.1720343678800981,0.20433115651601708
lasso,False,lasso,False,batch,xavier,0.0001,0.6901171707326317,-0.18771905304269798,0.20778428549189423
ridge,False,ridge,False,batch,xavier,0.0001,0.6901185104839339,-0.18772137736402622,0.2077856231493954
normal,False,normal,False,batch,xavier,0.0001,0.6901189445686489,-0.18772213683518862,0.20778604985058882
polynomial,True,normal,False,batch,xavier,0.01,0.7112273044664832,-0.2267744998976556,0.9405518122136076
polynomial,True,normal,True,batch,xavier,0.001,0.8069626921186763,-0.3919061087338497,0.8964699069017962
polynomial,True,normal,False,mini-batch,xavier,0.0001,0.840926678296942,-0.4506955613474285,0.8784676886137244
polynomial,True,normal,False,batch,xavier,0.001,0.9152009016525428,-0.5792533848568888,0.8507594208646106
polynomial,True,normal,True,batch,xavier,0.0001,0.9339083575596691,-0.6116678210851129,0.8449104601871897
polynomial,True,normal,False,batch,xavier,0.0001,0.9472267138529729,-0.6347533300898002,0.8409438668060985
polynomial,True,normal,True,stochastic,xavier,0.01,5.123215416454269,-7.838028575214882,6.037324979831821
polynomial,True,normal,True,stochastic,zeros,0.01,51.22808274828367,-87.93605514038576,166.85900712999728
